| bench         | COMPILER | SEQ-CPU          | PAR-CPU          | PAR-GPU          | OUTPUT     |
|---------------|----------|------------------|------------------|------------------|------------|
| bfs           |   0.370s |   3.360s      2M |   0.540s      3M |   7.400s     15M | 651176970  |
| bitonic       |   0.347s |   6.080s    180M |   1.100s    198M |   1.930s     15M | 3787129428 |
| editdist      |   0.346s |   1.910s      2M |   0.380s      3M |   0.510s     14M | 2229810577 |
| gameoflife    |   0.376s |   6.930s      2M |   1.150s      2M |   0.090s     14M | 2016151040 |
| hashmap       |   0.369s |   3.410s      2M |   0.520s      9M |   1.460s     14M | 1307803744 |
| kmeans        |   0.471s |   4.840s     56M |   0.930s     76M |   0.600s     16M | 1616398086 |
| lexer         |   0.371s |   2.350s      2M |   0.420s      3M |   3.990s     14M | 2401049475 |
| mandelbrot    |   0.392s |   4.440s      2M |   0.670s      3M |   0.060s     14M | 3101455856 |
| matmul        |   0.482s |   1.930s      3M |   0.340s     15M |   0.970s     15M | 3797651056 |
| merkle        |   0.355s |   4.160s    130M |   0.760s    131M |   0.080s     14M | 3104235417 |
| nbody         |   0.584s |   4.810s      2M |   0.720s      3M |   0.060s     14M | 3516450380 |
| queens        |   0.402s |   4.740s      2M |   0.750s      2M |   2.700s     14M | 2063750025 |
| radix         |   0.344s |   3.990s    652M |   0.680s    660M |   0.890s     14M | 1998173798 |
| raytrace      |   0.552s |   4.370s      2M |   0.730s      3M |   0.340s     14M | 1924309504 |
| symreg        |   0.375s |   3.390s      2M |   0.520s      3M |   0.780s     14M | 2383953211 |
| terrain       |   0.462s |   2.100s      2M |   0.350s      3M |   0.360s     14M | 2572468224 |
