# Runtime
# 2026-09-09 f655a39d bun bend2/docs/gen_pins.ts runtime

| bench      | SEQ-CPU         | PAR-CPU         | PAR-GPU         | C        | TS       | Lean     |
|------------|-----------------|-----------------|-----------------|----------|----------|----------|
| bfs        |   3.859s   2.0M |   0.324s   2.7M |   0.214s  16.9M |   3.853s |   6.462s |   9.512s |
| bitonic    |   5.914s   146M |   0.776s   154M |   0.433s  17.2M |   6.027s |  32.745s |  27.043s |
| editdist   |   2.114s   2.0M |   0.197s   3.1M |   0.139s  16.9M |   2.335s |   5.359s |   5.209s |
| gameoflife |   7.618s   2.1M |   0.686s   2.7M |   0.066s  16.8M |   7.158s |  18.683s |  14.142s |
| hashmap    |   3.735s   2.4M |   0.332s   9.1M |   0.635s  17.0M |   0.940s |   0.909s |   1.874s |
| kmeans     |   2.058s  23.6M |   0.264s  20.6M |   0.187s  18.0M |   2.389s |  17.562s |   6.259s |
| lexer      |   2.470s   2.0M |   0.218s   3.0M |   1.706s  17.1M |   1.368s |   3.522s |   5.511s |
| mandelbrot |   4.491s   2.3M |   0.409s   2.9M |   0.056s  16.9M |   4.076s |   3.864s |   4.881s |
| matmul     |   2.559s   2.8M |   0.257s  15.6M |   0.233s  19.7M |   3.177s |  11.045s |   8.606s |
| merkle     |   4.173s   130M |   0.407s   131M |   0.067s  17.3M |   3.908s |   7.223s |   6.283s |
| nbody      |   4.796s   2.2M |   0.433s   2.7M |   0.060s  17.0M |   5.302s |   5.297s |   5.746s |
| queens     |   5.227s   2.1M |   0.436s   2.6M |   1.148s  16.8M |   4.922s |   7.011s |   8.603s |
| radix      |   3.813s   651M |   0.407s   620M |   0.290s  17.2M |   3.116s |   6.263s |   6.825s |
| raytrace   |   4.785s   2.1M |   0.429s   2.7M |   0.198s  17.2M |   4.944s |  22.703s |  11.334s |
| symreg     |   3.130s   2.1M |   0.282s   3.1M |   0.531s  17.2M |   2.498s |   5.700s |   2.856s |
| terrain    |   2.349s   2.1M |   0.209s   3.4M |   0.102s  16.8M |   2.466s |   5.680s |   8.410s |
